Fcilty_typ,Address,Xcoord,Ycoord
BoA ATM,"1 South Pleasant St
Amherst MA 01002",-72.52003,-35.352484
BoA ATM,"195 University Dr
Amherst MA 01002",-72.53441,-33.41619
BoA ATM,"360 College St Route 9
Amherst MA 01002",-72.5017,-32.592757
BoA ATM,"472 North Pleasant St
Amherst MA 01002",-72.52307,-34.755285
BoA ATM,"75 E Pleasant St
Amherst MA 01002",-72.51885,-30.323996
BoA ATM,"Montague Road - Route 63
Amherst MA 01002",-72.53034,-36.674033
BoA ATM,"110 Stockbridge Rd
Amherst MA 01003",-72.52434,-29.460718
BoA ATM,"131 Southwest Circle
Amherst MA 01003",-72.51501,-36.887751
BoA ATM,"200 Commonwealth Ave
Amherst MA 01003",-72.53317,-36.223301
BoA ATM,"260 Stockbridge Rd
Amherst MA 01003",-72.52251,-33.485573
BoA ATM,"11 Federal St Route 202
Belchertown MA 01007",-72.40752,-33.731878
BoA ATM,"1594 Memorial Dr
Chicopee MA 01013",-72.57344,-34.06554
BoA ATM,"480 Burnett Rd
Chicopee MA 01020",-72.54243,-33.917178
BoA ATM,"638 Memorial Dr
Chicopee MA 01020",-72.57714,-33.935046
BoA ATM,"52 Main St
Easthampton MA 01027",-72.67155,-33.791683
BoA ATM,"21 North Main St
East Longmeadow MA 01028",-72.51337,-33.704617
BoA ATM,"431 North Main St
East Longmeadow MA 01028",-72.52689,-34.034014
BoA ATM,"10 South Westfield St
Feeding Hills MA 01030",-72.67886,-33.874246
BoA ATM,"Route 9 & South Maple St
Hadley MA 01035",-72.55008,-33.965065
BoA ATM,"9 Allen St
Hampden MA 01036",-72.44209,-29.771806
BoA ATM,"1504 North Hampton St
Holyoke MA 01040",-72.62927,-33.77696
BoA ATM,"320 High St
Holyoke MA 01040",-72.6089,-33.884404
BoA ATM,"40 Lincoln St
Holyoke MA 01040",-72.61782,-32.56410816
BoA ATM,"50 Holyoke St
Holyoke MA 01040",-72.6396,-33.796794
BoA ATM,"50 Holyoke St
Holyoke MA 01040",-72.64261,-33.873782
BoA ATM,"7 Holyoke St
Holyoke MA 01040",-72.64227,-33.837958
BoA ATM,"425 Center St
Ludlow MA 01056",-72.48235,-33.865072
BoA ATM,"64 Cherry St
Ludlow MA 01056",-72.48339,-33.869064
BoA ATM,"144 Main St
Northampton MA 01060",-72.63071,-33.945879
BoA ATM,"192 North King St
Northampton MA 01060",-72.64226,-33.823701
BoA ATM,"1010 Park St
Palmer MA 01069",-72.32794,-33.891875
BoA ATM,"510 North Main St
Palmer MA 01069",-72.34057,-23.85534942
BoA ATM,"477 Newton St
South Hadley MA 01075",-72.58266,-33.768201
BoA ATM,"College St
South Hadley MA 01075",-72.57441,-27.183903
BoA ATM,"604 College Hwy
Southwick MA 01077",-72.76363,-33.696624
BoA ATM,"10 Main St
Westfield MA 01085",-72.74832,-33.492793
BoA ATM,"273 East Main St
Westfield MA 01085",-72.72642,-33.424362
BoA ATM,"225 Memorial Ave
West Springfield MA 01089",-72.60029,-32.832744
BoA ATM,"735 Westfield St
West Springfield MA 01089",-72.63541,-33.437331
BoA ATM,"928 Riverdale Rd
West Springfield MA 01089",-72.62748,-33.306914
BoA ATM,"99 Westfield St
West Springfield MA 01089",-72.62513,-33.344202
BoA ATM,"Routes 16 & 5 & 10
Whately MA 01093",-72.61389,-33.245474
BoA ATM,"2034 Boston Rd
Wilbraham MA 01095",-72.47277,-32.734323
BoA ATM,"263 Alden St
Springfield MA 01101",-72.5668,-33.011657
BoA ATM,"275 Cottage St
Springfield MA 01101",-72.54307,-30.512741
BoA ATM,"405 Armory St
Springfield MA 01101",-72.5854,-32.903739
BoA ATM,"455 Breckwood Blvd
Springfield MA 01101",-72.52379,-32.963406
BoA ATM,"1776 Main St
Springfield MA 01102",-72.5962,-32.942052
BoA ATM,"1070 St James Ave
Springfield MA 01103",-72.57014,-32.7634128
BoA ATM,"685 Sumner Ave
Springfield MA 01103",-72.55142,-32.926775
BoA ATM,"1277 Liberty St
East Springfield MA 01104",-72.58145,-26.5406
BoA ATM,"1316 E Carew St
Springfield MA 01104",-72.57019,-27.56454178
BoA ATM,"587 Page Blvd
Springfield MA 01104",-72.55893,-27.560203
BoA ATM,"734 Bliss Rd
Longmeadow MA 01106",-72.55317,-28.223176
BoA ATM,"2450 Main St
Springfield MA 01107",-72.60417,-24.871269
BoA ATM,"517-583 East Columbus Ave
Springfield MA 01108",-72.58005,-31.913555
BoA ATM,"582 State St
Springfield MA 01109",-72.57331,-32.176453
BoA ATM,"106 Island Pond Rd
Springfield MA 01118",-72.5512,-26.190296
BoA ATM,"1215 Wilbraham Rd
Springfield MA 01119",-72.52022,-25.539147
BoA ATM,"1655 Boston Rd
Springfield MA 01129",-72.48559,-27.60897
BoA ATM,"1724 Boston Rd
Springfield MA 01129",-72.48676,-25.28863989
BoA ATM,"1889 Wilbraham Rd
Springfield MA 01129",-72.49789,-31.080317
BoA ATM,"1414 Main St
Springfield MA 01144",-72.59064,-31.427359
BoA ATM,"114 Interlaken Rd
Stockbridge MA 01262",-73.31045,-30.707182
BoA ATM,"208 Federal St
Greenfield MA 01301",-72.59768,-29.689935
BoA ATM,"471 Bernardston Rd
Greenfield MA 01301",-72.58669,-27.549524
BoA ATM,"353 John Fitch Hwy
Fitchburg MA 01420",-71.77527,-27.102884
BoA ATM,"700 Main St
Fitchburg MA 01420",-71.80325,-26.628406
BoA ATM,"16 Pearson Blvd
Gardner MA 01440",-71.97937,-27.497761
BoA ATM,"29 Parker St
Gardner MA 01440",-71.99569,-27.407566
BoA ATM,"167 Main St
Groton MA 01450",-71.57109,-27.307401
BoA ATM,"1 Main St
Leominster MA 01453",-71.75957,-27.470496
BoA ATM,"100 Commercial St
Leominster MA 01453",-71.74089,-27.385905
BoA ATM,"288 Great Rd
Littleton MA 01460",-71.46954,-28.863504
BoA ATM,"107 Main St
Westminster MA 01473",-71.91359,-27.4084292
BoA ATM,"376 Southbridge St
Auburn MA 01501",-71.83679,-27.560035
BoA ATM,"500 Main St
Sturbridge MA 01518",-72.10773,-27.226718
BoA ATM,"560 Main St
Holden MA 01520",-71.83578,-26.654233
BoA ATM,"70 Worcester Providence Tnpk
Millbury MA 01527",-71.77641,-27.498755
